Question,Answer
남서울은행의 수퍼 정기 예금에 대해 설명해주세요.,"남서울은행의 수퍼 정기 예금의 특징은 아래와 같습니다. 
상품특징: 목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 다기능 맞춤식 정기예금입니다.
가입대상: 제한없음 (단, 무기명으로는 가입하실 수 없습니다.)
계약기간    
ㅇ 고정금리형 : 1개월~ 3년이내에서 월 또는 일단위
ㅇ 단위기간 금리연동형 : 12개월이상 36개월 이내에서 월단위로 정하고, 연동(회전)단위기간은 1개월 ~ 6개월로 정할 수 있음
    * 단위기간 금리연동형은 영업점에서 가입 가능합니다.

적립방법 및 저축금액 
ㅇ신규시 최저 100만원이상 원단위로 예치
ㅇ건별 10만원이상 원단위로 추가입금 가능(신규 포함 30회까지 가능)
* 추가입금은 영업점에서 가입 가능합니다.
세금  일반과세/비과세종합저축 선택가능(개인 가입자에 한함)
※ 관련 세법이 개정될 경우 세율이 변경되거나 세금이 부과 될 수 있음
※ 계약기간 만료일 이후의 이자는 과세됨"
남서울은행의 타기관OTP 이용등록방법 알려주세요,"남서울은행의 타기관에서 발급받으신 OTP가 통합OTP카드인 경우 당행에 등록하여 이용가능합니다. 
[경로]
- 인터넷뱅킹 로그인→ 사용자관리→인터넷뱅킹관리→OTP이용등록  
- 남서울은행 모바일앱 로그인→ 전체메뉴→설정/인증→ 이용중인 보안매체선택→   OTP이용등록
 
 ※ OTP이용등록후 재로그인을 하셔야 새로 등록된 보안매체가 적용됩니다.

기타 궁금하신 내용은 남서울은행 고객센터 1599-9999로 문의하여 주시기 바랍니다."
남서울은행 공동인증서와 금융인증서 차이점이 무엇인가요?,"공동인증서 (구 공인인증서)는 용도에 따라 은행/신용카드/보험용 무료 인증서와 전자거래범용(수수료 4,400원) 인증서가 있으며 유효기간은 1년입니다. 
남서울 공동인증서는 하드디스크나 이동식디스크, 휴대폰 등 원하시는 기기에 저장해서 이용할 수 있습니다.
인증서를 저장한 매체에서는 인증서 비밀번호로 편리하게 이용할 수 있으나 다른 기기에서 이용하려면 기기마다 복사하거나 이동식디스크에 저장해서 휴대해야 하는 불편함이 있을 수 있습니다.

남서울은행 금융인증서는 금융인증서는 금융결제원의 클라우드에 저장하여 이용하는 인증서로 발급/이용 시에 클라우드에 접속이 필요합니다.
금융결제원 클라우드에 연결만 가능하다면 어디서든 편리하게 이용 가능하지만, PC나 USB, 휴대폰 등 다른 기기로 복사는 불가합니다.(유효기간 3년/발급 수수료 무료)
※ 클라우드 계정 연결을 위해 휴대폰을 통한 ARS, SMS, 인증 절차가 필요합니다."
타기관OTP 이용등록방법 알려주세요,"타기관에서 발급받으신 OTP가 통합OTP카드인 경우 당행에 등록하여 이용가능합니다. 
[경로]
- 인터넷뱅킹 로그인→ 사용자관리→인터넷뱅킹관리→OTP이용등록  
- 남서울은행 모바일앱 로그인→ 전체메뉴→설정/인증→ 이용중인 보안매체선택→   OTP이용등록
 
 ※ OTP이용등록후 재로그인을 하셔야 새로 등록된 보안매체가 적용됩니다.

기타 궁금하신 내용은 남서울은행 고객센터 1599-8000로 문의하여 주시기 바랍니다."
공동인증서와 금융인증서 차이점이 무엇인가요?,"공동인증서 (구 공인인증서)는 용도에 따라 은행/신용카드/보험용 무료 인증서와 전자거래범용(수수료 4,400원) 인증서가 있으며 유효기간은 1년입니다. 
공동인증서는 하드디스크나 이동식디스크, 휴대폰 등 원하시는 기기에 저장해서 이용할 수 있습니다.
인증서를 저장한 매체에서는 인증서 비밀번호로 편리하게 이용할 수 있으나 다른 기기에서 이용하려면 기기마다 복사하거나 이동식디스크에 저장해서 휴대해야 하는 불편함이 있을 수 있습니다.

금융인증서는 금융인증서는 금융결제원의 클라우드에 저장하여 이용하는 인증서로 발급/이용 시에 클라우드에 접속이 필요합니다.
금융결제원 클라우드에 연결만 가능하다면 어디서든 편리하게 이용 가능하지만, PC나 USB, 휴대폰 등 다른 기기로 복사는 불가합니다.(유효기간 3년/발급 수수료 무료)
※ 클라우드 계정 연결을 위해 휴대폰을 통한 ARS, SMS, 마이인포앱 인증 절차가 필요합니다."
금융인증서 해외에서 발급할 수 있나요?,"해외에서도 인증서 발급 업무는 가능합니다. 다만, 금융인증서 저장을 위한 금융결제원 클라우드 계정 생성 및 연결이 필요한 업무로 해외연락처를 통한 ARS인증이 진행됩니다."
클라우드에 보관 중인 인증서는 얼마나 유지 되나요?,"정상적으로 이용하실 경우 금융인증서의 유효기간은 3년이며, 1년 동안 클라우드 이용 이력이 없는 경우는 안전한 이용을 위하여 클라우드 계정 및 저장된 모든 인증서가 삭제됩니다."
금융인증서 발급대상은 누구인가요?,"금융인증서는 은행 등의 금융회사에서 실명 확인된 고객을 대상으로 안전하게 발급되며 남서울은행 온라인서비스 가입 고객이면 발급가능합니다. 다만 금융인증서는 PC하드디스크나 휴대폰 등에 파일형태로 저장하는 방식이 아닌 금융결제원의 클라우드에 저장되기 때문에 금융결제원의 클라우드 연결을 위해 문자, ARS, 마이인포 앱을 통한 인증 절차가 진행됩니다. "
기존 공동인증서를 보유한 상태에서 금융인증서 발급이 가능한가요?,공동인증서와 금융인증서는 별개의 인증서로 두 가지 인증서를 모두 사용할 수 있습니다. 
휴대폰에서도 간편조회서비스 이용 가능한가요?,"ID/PW 방식의 간편조회서비스 이용은 불가합니다. 다만, 이용하시는 휴대폰의 모바일웹 브라우저를 통해 남서울은행에 접속 시 회원가입 없이 휴대폰 본인인증과 본인계좌인증을 통해 계좌조회는 가능합니다. 
※ 모바일에서 홈페이지와 동일한 간편조회서비스 이용을 원하실 경우 남서울은행 모바일웹 페이지에서 PC버전으로 접속하여 이용해 주시면 됩니다."
